thesis_id,surface_age,northing,easting, zone, longitude, latitude,topo_feature,confidence,min_prof_faultdist,max_prof_faultdist,margin_only,XY_mean,XY_stdev,Z_mean,Z_stdev,T_mean,T_stdev,vert:lateral
B060,Qf6a,3986637,475874,11,-117.26777,36.02394,bar,3,1,5,n,0.57,0.11,0.02,0.01,0.57,0.101784085,0.03
B061,Qf6a,3986655,475898,11,-117.26751,36.0241,bar,2,1,5,y,0.78,0.09,0.04,0.01,0.78,0.077304592,0.05
B062,Qf6a,3986648,475875,11,-117.26775,36.02404,bar,2.5,1,5,n,1.35,0.19,0.05,0.02,1.35,0.16788091,0.03
B063,Qf6a,3986667,475894,11,-117.26754,36.02421,bar,1,1,5,n,1.01,0.09,0.13,0.01,1.02,0.078332624,0.13
B064,Qf4,3987437,474839,11,-117.27928,36.03113,bar,2,3,6,n,1.1,0.13,0.11,0.04,1.11,0.114406682,0.1
B065,Qf6a,3985185,474811,11,-117.27952,36.01082,bar,2,5,10,n,1.88,0.19,0.3,0.07,1.9,0.180886705,0.16
B066,Qf6a,3985326,474929,11,-117.27822,36.0121,bar,3,1,5,n,0.9,0.26,0.33,0.04,0.96,0.234093998,0.36
B067,Qf6a,3985291,474851,11,-117.27908,36.01178,bar,2,1,5,n,1.29,0.3,0.08,0.02,1.29,0.272259068,0.06
B068,Qf6a,3985252,474858,11,-117.279,36.01143,bar,3,4,10,y,1.45,0.27,0.04,0.03,1.45,0.251506572,0.03
B069,Qf6a,3985300,474861,11,-117.27897,36.01186,bar,3,2,8,n,0.83,0.21,0.04,0.02,0.83,0.193275854,0.04
B070,Qf6a,3985271,474892,11,-117.27862,36.0116,bar,1,1,5,n,0.93,0.16,0.06,0.01,0.94,0.142632395,0.06
B071,Qf7,3985340,474934,11,-117.27816,36.01222,bar,2,5,10,n,1.31,0.17,0.05,0.05,1.31,0.148593405,0.04
B072,Qf7,3985261,474833,11,-117.27928,36.01151,bar,2,1,5,y,0.71,0.13,0.02,0.03,0.71,0.113313724,0.03
B073,Qf6a,3985287,474816,11,-117.27946,36.01174,bar,3,3,10,y,1.15,0.14,0.03,0.02,1.15,0.128467895,0.03
B074,Qf6a,3985268,474833,11,-117.27928,36.01157,bar,3,1,5,n,0.86,0.2,0.12,0.03,0.87,0.181372545,0.14
B075,Qf6a,3985287,474843,11,-117.27916,36.01174,bar,1,1,5,y,0.68,0.12,0.36,0.03,0.77,0.092606695,0.53
B076,Qf7,3985312,474885,11,-117.2787,36.01197,bar,3,1,5,y,1.42,0.05,0.07,0.01,1.42,0.041279535,0.05
B077,Qf7,3985301,474888,11,-117.27867,36.01187,bar,3,1,5,n,0.66,0.17,0.09,0.01,0.66,0.15107614,0.13
B078,Qf7,3985251,474661,11,-117.28119,36.01141,bar,1,1,5,n,0.75,0.14,0.03,0.01,0.75,0.133093534,0.04
B079,Qf6a,3987415,474805,11,-117.27965,36.03092,unit contact,2,5,8,y,1.91,0.3,0.11,0.07,1.91,0.265183375,0.06
B080,Qia,3987479,474800,11,-117.27972,36.0315,drainage,1,5,10,n,1,0.16,0.12,0.08,1.01,0.143888846,0.12
B081,Qia,3987815,475198,11,-117.27531,36.03454,drainage,1,5,10,n,2.62,0.36,0.78,0.08,2.74,0.303209499,0.3
B082,Qia,3987491,474883,11,-117.2788,36.03162,fan and drainage,1,3,7,n,2.21,0.14,0.28,0.08,2.23,0.131969693,0.13
B083,Qf6b,3985453,474942,11,-117.27807,36.01325,bar,2,1,5,n,1.27,0.22,0.04,0.01,1.28,0.196733322,0.03
B084,Qf6b,3987652,474886,11,-117.27877,36.03307,bar,2,1,5,y,1.33,0.12,0.05,0.02,1.33,0.109068786,0.03
B085,Qf6b,3987787,475184,11,-117.27546,36.03429,bar,1.5,1,5,n,0.9,0.19,0.05,0.02,0.9,0.168588915,0.05
B086,Qf6b,3985454,474971,11,-117.27775,36.01325,bar,2,1,5,n,0.75,0.11,0.06,0.01,0.75,0.100279609,0.07
B087,Qf6b,3985392,474710,11,-117.28064,36.01268,bar,1,1,5,n,1,0.09,0.08,0.03,1,0.080829038,0.08
B088,Qf6b,3985174,474811,11,-117.27952,36.01073,bar,2,1,5,y,1.07,0.23,0.02,0.02,1.07,0.202682017,0.02
B089,Qf6b,3985397,474830,11,-117.27932,36.01273,bar,3,1,5,n,1.5,0.09,0.08,0.02,1.5,0.079145436,0.05
B090,Qf6b,3985180,474051,11,-117.28795,36.01076,bar,1,1,5,n,1.8,0.17,0.05,0.01,1.8,0.15328405,0.03
B091,Qf6b,3987663,474998,11,-117.27752,36.03317,fan,2.5,1,5,y,0.86,0.23,0.04,0.02,0.86,0.207980768,0.05
B092,Qf6b,3985313,474777,11,-117.2799,36.01198,bar,2,1,5,n,1.58,0.25,0.12,0.07,1.58,0.22745549,0.08
B093,Qf6b,3985357,474788,11,-117.27978,36.01238,bar and swale,3,1,5,n,1.58,0.23,0.02,0.03,1.58,0.201732496,0.01
B094,Qf6b,3987820,474994,11,-117.27757,36.03459,fan,3,1,5,n,0.51,0.08,0.05,0.01,0.51,0.073756356,0.1
B095,Qf6a,3985434,474885,11,-117.2787,36.01307,bar,1.5,1,5,n,0.31,0.12,0.08,0.02,0.32,0.110344914,0.26
B096,Qia,3987658,474891,11,-117.27871,36.03312,drainage,1,5,10,n,1.05,0.12,0.31,0.12,1.1,0.134372616,0.29
B097,Qia,3987653,474966,11,-117.27788,36.03308,drainage,2,3,10,n,1.11,0.11,0.22,0.08,1.14,0.105905618,0.2
B098,Qf7,3985438,474898,11,-117.27857,36.0131,bar,2.5,1,5,y,0.57,0.09,0.13,0.06,0.59,0.088408144,0.23
B099,Qf7,3985442,474921,11,-117.27831,36.01314,swale,2.5,1,5,y,0.31,0.1,0.13,0.03,0.34,0.087954534,0.42
B100,Qf7,3986469,475561,11,-117.27124,36.02242,bar,1,1,5,y,1.31,0.14,0.04,0.01,1.32,0.124675579,0.03
B101,Qf7,3986669,475869,11,-117.26783,36.02423,bar and swale,2,1,5,n,1.5,0.24,0.02,0.01,1.5,0.212602916,0.02
B102,Qf7,3986688,475924,11,-117.26722,36.0244,bar,2,1,5,n,1.16,0.2,0.04,0.02,1.16,0.182822318,0.04
B103,Qf6a,3986690,475941,11,-117.26702,36.02442,bar,2,1,5,n,1.39,0.22,0.14,0.03,1.4,0.193865933,0.1
B104,Qf6a,3986717,475927,11,-117.26718,36.02467,bar,2,1,5,n,1.16,0.17,0.06,0.04,1.16,0.1596524,0.05
B105,Qf6b,3986729,475904,11,-117.26744,36.02477,bar,2,1,5,n,1.23,0.12,0.03,0.01,1.24,0.10761299,0.03
B106,Qf6b,3986730,475895,11,-117.26754,36.02478,bar,2,1,5,y,1.39,0.15,0.04,0.02,1.39,0.132302683,0.03
B107,Qf6b,3986732,475927,11,-117.26718,36.0248,bar,3,1,5,n,0.51,0.07,0.03,0.01,0.51,0.06164414,0.06
B108,Qf6b,3986496,475612,11,-117.27067,36.02266,bar,3,1,5,y,0.8,0.17,0.05,0.02,0.8,0.147918897,0.06
B109,Qf6b,3986728,475909,11,-117.26738,36.02476,bar,2.5,1,5,y,0.67,0.12,0.02,0.02,0.67,0.109252002,0.03
B110,Qf6b,3986727,475883,11,-117.26767,36.02476,bar,2,1,5,n,1.84,0.13,0.12,0.01,1.85,0.120099958,0.06
B111,Qf6b,3986511,475556,11,-117.27129,36.02279,bar,2,1,5,y,2.22,0.25,0.04,0.08,2.22,0.218778427,0.02
B112,Qf6a,3986639,475802,11,-117.26856,36.02396,bar,2,1,5,y,1.08,0.19,0.03,0.02,1.08,0.169162644,0.03
B113,Qf6a,3986633,475801,11,-117.26858,36.02391,bar,2,1,5,y,0.58,0.08,0.05,0.01,0.58,0.078332624,0.09
B114,Qf6a,3986674,475744,11,-117.26921,36.02427,swale,3,1,5,n,1.18,0.23,0.04,0.01,1.18,0.207074866,0.04
B115,Qf6a,3986669,475804,11,-117.26854,36.02423,bar,1,1,5,y,0.91,0.18,0.08,0.04,0.91,0.154970965,0.09
B116,Qf6a,3986648,475942,11,-117.26702,36.02404,bar,3,1,4,y,0.71,0.14,0.05,0.02,0.72,0.12862251,0.07
B117,Qf6a,3986702,475790,11,-117.2687,36.02453,bar,1,1,5,y,0.97,0.13,0.09,0.03,0.97,0.116103402,0.09
B118,Qf6a,3986686,475721,11,-117.26946,36.02438,bar,1,1,5,n,1.51,0.15,0.07,0.01,1.51,0.133056379,0.04
B119,Qf6a,3986732,475885,11,-117.26765,36.0248,bar,2,1,5,n,1.02,0.25,0.1,0.03,1.02,0.225068878,0.1
